%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1594660096198881704,177,1594660096199588663,gps_base,0.378,-0.036,-0.202,0.0,0.0,0.0,0.772641,0.0,0.0,0.0,0.0,0.0,0.0,0.772641,0.0,0.0,0.0,0.0,0.0,0.0,0.772641,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660096398817110,178,1594660096399588612,gps_base,0.386,-0.011,-0.201,0.0,0.0,0.0,0.784996,0.0,0.0,0.0,0.0,0.0,0.0,0.784996,0.0,0.0,0.0,0.0,0.0,0.0,0.784996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660096598667158,179,1594660096599588561,gps_base,0.365,-0.006,-0.199,0.0,0.0,0.0,0.784996,0.0,0.0,0.0,0.0,0.0,0.0,0.784996,0.0,0.0,0.0,0.0,0.0,0.0,0.784996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660096798819213,180,1594660096799588510,gps_base,0.282,0.02,-0.188,0.0,0.0,0.0,0.772641,0.0,0.0,0.0,0.0,0.0,0.0,0.772641,0.0,0.0,0.0,0.0,0.0,0.0,0.772641,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660097002709075,181,1594660096999588460,gps_base,-0.064,0.082,-0.159,0.0,0.0,0.0,0.232324,0.0,0.0,0.0,0.0,0.0,0.0,0.232324,0.0,0.0,0.0,0.0,0.0,0.0,0.232324,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660097198609858,182,1594660097199588408,gps_base,0.67,0.016,-0.192,0.0,0.0,0.0,0.755161,0.0,0.0,0.0,0.0,0.0,0.0,0.755161,0.0,0.0,0.0,0.0,0.0,0.0,0.755161,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660097398564676,183,1594660097399588357,gps_base,1.041,-0.033,-0.213,0.0,0.0,0.0,0.695556,0.0,0.0,0.0,0.0,0.0,0.0,0.695556,0.0,0.0,0.0,0.0,0.0,0.0,0.695556,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660097598727279,184,1594660097599588306,gps_base,1.283,-0.168,-0.225,0.0,0.0,0.0,0.675684,0.0,0.0,0.0,0.0,0.0,0.0,0.675684,0.0,0.0,0.0,0.0,0.0,0.0,0.675684,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660097798536842,185,1594660097799588255,gps_base,2.107,-0.123,-0.287,0.0,0.0,0.0,0.6889,0.0,0.0,0.0,0.0,0.0,0.0,0.6889,0.0,0.0,0.0,0.0,0.0,0.0,0.6889,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594660098001909559,186,1594660097999588203,gps_base,0.908,-0.145,-0.068,0.0,0.0,0.0,0.734449,0.0,0.0,0.0,0.0,0.0,0.0,0.734449,0.0,0.0,0.0,0.0,0.0,0.0,0.734449,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
